time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,city
1637377200,2021-11-20 00:00,26.6,79.9,0,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",13.9,22.3,112,ESE,1010.0,29.84,0.0,0.0,73,52,28.8,83.8,26.6,79.9,28.8,83.8,21.2,70.2,0,0,0,0,10.0,6.0,19.2,31.0,Natal
1637380800,2021-11-20 01:00,26.5,79.7,0,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",13.5,21.7,111,ESE,1010.0,29.83,0.0,0.0,72,64,28.6,83.5,26.5,79.7,28.6,83.5,21.0,69.8,0,1,0,0,10.0,6.0,18.9,30.5,Natal
1637384400,2021-11-20 02:00,26.4,79.5,0,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",13.1,21.1,111,ESE,1010.0,29.83,0.0,0.0,71,77,28.4,83.1,26.4,79.5,28.4,83.1,20.8,69.4,0,3,0,0,10.0,6.0,18.6,30.0,Natal
1637388000,2021-11-20 03:00,26.3,79.3,0,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",12.8,20.5,110,ESE,1010.0,29.82,0.0,0.0,71,90,28.2,82.8,26.3,79.3,28.2,82.8,20.6,69.1,0,0,0,0,10.0,6.0,18.3,29.5,Natal
1637391600,2021-11-20 04:00,26.7,80.1,0,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",12.8,20.5,111,ESE,1010.0,29.84,0.0,0.0,68,68,28.5,83.3,26.7,80.1,28.5,83.3,20.2,68.3,0,3,0,0,10.0,6.0,17.8,28.7,Natal
1637395200,2021-11-20 05:00,27.1,80.8,1,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,112,ESE,1011.0,29.85,0.0,0.0,64,46,28.8,83.8,27.1,80.8,28.8,83.8,19.7,67.5,0,0,0,0,10.0,6.0,17.3,27.8,Natal
1637398800,2021-11-20 06:00,27.5,81.5,1,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,112,ESE,1011.0,29.87,0.0,0.0,61,24,29.1,84.4,27.5,81.5,29.1,84.4,19.3,66.7,0,0,0,0,10.0,6.0,16.8,27.0,Natal
1637402400,2021-11-20 07:00,28.2,82.8,1,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,110,ESE,1012.0,29.88,0.0,0.0,59,16,30.0,86.0,28.2,82.8,30.0,86.0,19.5,67.2,0,0,0,0,10.0,6.0,16.1,25.9,Natal
1637406000,2021-11-20 08:00,28.9,84.0,1,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,107,ESE,1012.0,29.89,0.0,0.0,58,8,30.9,87.6,28.9,84.0,30.9,87.6,19.8,67.6,0,0,0,0,10.0,6.0,15.4,24.8,Natal
1637409600,2021-11-20 09:00,29.6,85.3,1,"{'text': 'Parcialmente nublado', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",12.8,20.5,104,ESE,1012.0,29.9,0.0,0.0,56,0,31.8,89.2,29.6,85.3,31.8,89.2,20.0,68.0,0,0,0,0,10.0,6.0,14.8,23.8,Natal
